64.90.182.55 nist1-ny
129.6.15.28 time-a
129.6.15.29 time-b
206.246.118.250 nist1-dc
64.236.96.53 aol-va
206.246.122.250 nist1-pa
68.216.79.113 columbia
208.66.175.36 nist-chi
173.14.47.149 expertsm
64.113.32.5 nsg
66.219.116.140 carson
24.56.178.140 nist
132.163.4.101 timefreq
132.163.4.102 timefreq
132.163.4.103 timefreq
192.43.244.18 time
128.138.140.44 utcnist
128.138.188.172 utcnist2
198.60.73.8 ntp-nist
131.107.13.100 time-nw
207.200.81.113 aol-ca
69.25.96.13 symmetri
64.125.78.85 nist1-sj
64.147.116.229 nist1-la
